,team_id,player_id,x_loc,y_loc,radius,game_clock,shot_clock,quarter,game_id,event_id,x_loc_original,y_loc_original,speed
153,ball,ball,-160.526,234.035,4.008,710.740,11.690,1,21500492,1,28.154,41.053,9.936
154,CHA,Marvin Williams,44.166,74.789,0.000,710.700,11.670,1,21500492,1,12.229,20.583,2.215
155,CHA,PJ Hairston,-96.820,56.286,0.000,710.700,11.670,1,21500492,1,10.379,34.682,11.473
156,CHA,Cody Zeller,-89.320,122.599,0.000,710.700,11.670,1,21500492,1,17.010,33.932,2.357
157,CHA,Kemba Walker,-136.248,196.040,0.000,710.700,11.670,1,21500492,1,24.354,38.625,12.383
158,CHA,Nicolas Batum,62.982,26.803,0.000,710.700,11.670,1,21500492,1,7.430,18.702,2.737
159,ball,ball,-152.976,237.602,3.878,710.700,11.670,1,21500492,1,28.510,40.298,20.875
160,TOR,Jonas Valanciunas,-122.502,183.900,0.000,710.700,11.670,1,21500492,1,23.140,37.250,5.808
161,TOR,DeMar DeRozan,-87.984,23.927,0.000,710.700,11.670,1,21500492,1,7.143,33.798,15.794
162,TOR,Kyle Lowry,-149.803,222.341,0.000,710.700,11.670,1,21500492,1,26.984,39.980,14.619
163,TOR,DeMarre Carroll,95.998,32.013,0.000,710.700,11.670,1,21500492,1,7.951,15.400,5.055
164,TOR,Luis Scola,118.460,125.685,0.000,710.700,11.670,1,21500492,1,17.319,13.154,2.875
165,CHA,PJ Hairston,-93.295,52.955,0.000,710.660,11.640,1,21500492,1,10.046,34.330,12.124
166,CHA,Cody Zeller,-90.161,123.149,0.000,710.660,11.640,1,21500492,1,17.065,34.016,2.511
167,CHA,Kemba Walker,-132.547,198.986,0.000,710.660,11.640,1,21500492,1,24.649,38.255,11.826
168,CHA,Nicolas Batum,63.316,25.877,0.000,710.660,11.640,1,21500492,1,7.338,18.668,2.462
169,CHA,Marvin Williams,45.931,75.258,0.000,710.660,11.640,1,21500492,1,12.276,20.407,4.566
170,TOR,Jonas Valanciunas,-123.742,185.547,0.000,710.660,11.640,1,21500492,1,23.305,37.374,5.153
171,TOR,DeMar DeRozan,-82.912,20.119,0.000,710.660,11.640,1,21500492,1,6.762,33.291,15.855
172,TOR,Kyle Lowry,-145.221,226.267,0.000,710.660,11.640,1,21500492,1,27.377,39.522,15.085
173,TOR,DeMarre Carroll,94.448,30.936,0.000,710.660,11.640,1,21500492,1,7.844,15.555,4.719
174,TOR,Luis Scola,118.575,124.563,0.000,710.660,11.640,1,21500492,1,17.206,13.143,2.821
175,ball,ball,-148.945,241.597,3.322,710.660,11.640,1,21500492,1,28.910,39.894,14.189
176,CHA,PJ Hairston,-90.522,49.970,0.000,710.620,11.620,1,21500492,1,9.747,34.052,10.186
177,CHA,Cody Zeller,-91.103,123.728,0.000,710.620,11.620,1,21500492,1,17.123,34.110,2.765
178,CHA,Kemba Walker,-128.816,201.872,0.000,710.620,11.620,1,21500492,1,24.937,37.882,11.791
179,CHA,Nicolas Batum,63.363,25.280,0.000,710.620,11.620,1,21500492,1,7.278,18.664,1.495
180,CHA,Marvin Williams,47.612,75.810,0.000,710.620,11.620,1,21500492,1,12.331,20.239,4.423
181,TOR,Jonas Valanciunas,-124.610,186.735,0.000,710.620,11.620,1,21500492,1,23.423,37.461,3.679
182,TOR,DeMar DeRozan,-77.955,16.895,0.000,710.620,11.620,1,21500492,1,6.440,32.796,14.783
183,TOR,Kyle Lowry,-141.036,230.247,0.000,710.620,11.620,1,21500492,1,27.775,39.104,14.437
184,TOR,DeMarre Carroll,92.963,29.773,0.000,710.620,11.620,1,21500492,1,7.727,15.704,4.716
185,TOR,Luis Scola,118.656,123.410,0.000,710.620,11.620,1,21500492,1,17.091,13.134,2.890
186,ball,ball,-143.563,245.569,2.689,710.620,11.620,1,21500492,1,29.307,39.356,16.722
